,image,complex,frog_eye_leaf_spot,healthy,powdery_mildew,rust,scab,labels
16896,f5cac584c2bcd32c.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
1275,899f3ae55a32e21c.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12226,d537d83d16295781.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
9652,c2cb7c9575ca9624.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
1315,89d8ba3c28cde1f8.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
13106,dbf568c23557c08a.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
539,83ac7fc02dc0ab2f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
310,81d2e185de0e9ece.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
7816,b6c436f21f6804f9.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
502,838667499f317267.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17805,fc218587788f2b1e.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13386,de3106acfa43e896.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
11712,d1a4d16aba8b7607.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
11633,d0e760cf307f5a50.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
1553,8be8374fa7d4c288.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
5107,a83cd5c7e1a48f62.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
12435,d686f694c4daa4aa.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
961,86aeb8784b794d58.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
7884,b7628746264daacd.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3498,9cb97f87870407f0.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14959,e96595bd7630b112.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
1414,8ab625a1b6acb396.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
428,82d73f0b98618fd2.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16358,f2e1c2115f3dbc28.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
6609,af8a1e04303cb7af.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
469,833c97cd34eb4526.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
18082,fd3b585e83219925.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
13298,dd9bc134c897c817.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
15244,eaf485908ebad8aa.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14035,e1b830dec2c7078f.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
15624,ee94c487bcd0335c.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
3395,9b60296e617c497b.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
18152,fd9ad0505f632866.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
12890,da174195d9d89d94.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16027,f0d3c3b2cf598438.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14330,e48fc33896394739.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
10098,c5bb6f00c4461ee7.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
5142,a86d9d1f99b04a96.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
6323,adbf82de8fa08e40.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
823,85a787a7de8618d8.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
6990,b1d887522ebe3a1a.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
16306,f287c39c9f702332.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
168,80f4549ce81eefe1.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
7320,b4a3c8859bd25b3a.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
14654,e75a82c38fca958c.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
16634,f4cac18decac7298.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9647,c2c21ebef0cdc531.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
15375,ebfe5005f9071c0d.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
17976,fcdef1da3b700810.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2836,95e633360a0fe539.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
11061,cd633c6f1138393c.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
18499,ff81979e494038d3.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
15796,f018c8e95c5eb6c9.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
761,856247c56f18bfa1.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
621,8481aa3fb5d073c7.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
17387,f90ed2271a27f194.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
9008,c003d3c78fde44d6.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13095,dbe1b3846e06b86a.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
18382,fece008cf060f5e3.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2320,92b02f6978bca92d.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
6573,af6292db1b611d98.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
7095,b2f09aaaed15529a.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4654,a53ac6a4da57e198.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
4429,a4057ac6a9e996ae.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13717,e07e8ac566932cc7.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
10364,c7ab520f6e5684a9.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
12744,d8e06ac4bf4f5115.jpg,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
6146,ad328df0cd4780ee.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
6829,b0c39bd5c084b67e.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2975,96d969468ccd9565.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17203,f86b27539ac454b1.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9587,c26e3f0170abb19d.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
13102,dbf191ab6465a0a5.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1995,90403dfe783db658.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
2070,90c790666f674f58.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
3270,99cacfcf91d4d005.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
5308,a8eaa00dc9b59f3a.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
8295,baf03ec9b435b016.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
18216,fdd0a5da0058e9d9.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4469,a46d9db84ba05d72.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
10833,cb0923e6d43bdc4c.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
5831,ab37412b95623ee8.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
1049,878f6e2135b63417.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
11816,d26ca8b9b13d3d50.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
231,8192743f44f1d9ad.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
1260,8989898f8f8e2c7e.jpg,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
11384,cfc92c78b0b1a1cb.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
904,85edd994308a6f65.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
7922,b7ae8302ca92596f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
10514,c8c8addfd5295219.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
9302,c0ff18bfb811e503.jpg,1,0,0,0,1,0,"[1, 0, 0, 0, 1, 0]"
15844,f05595fe9e305223.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
10691,ca0e38bf3850fd43.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
3433,9be41b823d13e3c6.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1276,899f713a119b2eca.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
5447,a9b594c2cf4d8f0c.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1610,8cabacfdc2893859.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
9206,c0c73614ce4ee4ed.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
18072,fd2e84170f9e54c1.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
3435,9be4e943b1999a19.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
8049,b8afa0aa8e671a17.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
2445,93e696946ca92d69.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
9474,c1cc542cb853d69f.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18073,fd30d0a01eaf2daa.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
13525,df6c81c8070ddf52.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
4719,a56dd542a9aaa9aa.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
334,81ee9fb0217b14d3.jpg,1,0,0,0,1,0,"[1, 0, 0, 0, 1, 0]"
5165,a88895d7943f6a63.jpg,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
11681,d14f2286f163b333.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
1168,88a916a07fff6d10.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2077,90ca1673f19c8f63.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
17250,f895c9a8d45f85a1.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
9816,c3d98f9f981239a2.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
14073,e1de95755354d205.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
10772,caad24d0fcf2ac91.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
7023,b247ccfc06bfe808.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
15675,ef1f8ec20b2ecc60.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
11150,cde3244bb5167b50.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
18266,fe1c87a12f077198.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
8349,bbc0b40696eec4b5.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
1160,889cc66538c7b2cf.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
15886,f07f309c603c87f8.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
17285,f8b5d792d04b8949.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
6784,b098878bcdeeaa92.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
12447,d69357569a03ea8a.jpg,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
665,84c4bed2caec5798.jpg,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
2401,9376b2803d935a6b.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
6432,ae61967c97658835.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
10312,c7464e22bcfe1692.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
1883,8f2f6ec09516f145.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
13281,dd83061ca1775e8e.jpg,0,0,0,1,0,0,"[0, 0, 0, 1, 0, 0]"
498,8382d879b75e2ac5.jpg,1,0,0,1,0,0,"[1, 0, 0, 1, 0, 0]"
1606,8ca62f58f5868adc.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
5013,a7364aa4784f563a.jpg,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
15084,ea1ed5cd5add4108.jpg,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
12389,d5f8c90d8a2e7652.jpg,0,0,0,0,1,0,"[0, 0, 0, 0, 1, 0]"
